recid,curr_no,customer,category,currency,opening_date,closure_date,short_title,account_title_1,arabic_title,alt_acct_id_1,alt_acct_type_1,alt_acct_id_2,alt_acct_type_2,account_officer,co_code,limit_ref,online_actual_bal,online_cleared_bal,open_actual_bal,working_balance,prev_bal,record_status,closed_online,inactiv_marker,posting_restrict,date_last_update,inputter,authoriser,source_system,source_table,ingested_ts,created_ts,created_dt
1010100100123,4,100123,1001,EGP,20260105,,GLOBEX TRADING,GLOBEX TRADING CO,جلوبكس للتجارة,EG3300100010100100123,IBAN,0110023451,OLDACC,5001,EG0010001,LIM-1001,1250000.00,1250000.00,980000.00,1250000.00,980000.00,,,,,20260105,INPUT001,AUTH009,t24,fbnk_account,2026-07-01 02:18:10.000,2026-01-05 11:50:00.000,2026-01-05
1010100100123,9,100123,1001,EGP,20260105,,GLOBEX TRADING,GLOBEX TRADING CO,جلوبكس للتجارة,EG3300100010100100123,IBAN,0110023451,OLDACC,5001,EG0010001,LIM-1001,1418320.75,1400000.00,980000.00,1418320.75,1250000.00,,,,,20260630,INPUT001,AUTH009,t24,fbnk_account,2026-07-01 02:18:10.000,2026-06-30 23:05:00.000,2026-06-30
1010100100124,3,100124,1001,EGP,20260108,,JANE DOE,JANE DOE,جين دو,EG3300100010100100124,IBAN,,,5002,EG0010001,,42500.00,42500.00,15000.00,42500.00,38000.00,,,,,20260402,INPUT002,AUTH009,t24,fbnk_account,2026-07-01 02:18:10.000,2026-01-08 10:20:00.000,2026-01-08
6001200100124,2,100124,6001,EGP,20260210,,JANE DOE SAV,JANE DOE SAVINGS,جين دو توفير,EG3300100060012001240,IBAN,,,5002,EG0010001,,180000.00,180000.00,150000.00,180000.00,150000.00,,,,,20260210,INPUT002,AUTH009,t24,fbnk_account,2026-07-01 02:18:10.000,2026-02-10 11:00:00.000,2026-02-10
1010100100125,5,100125,1001,EGP,20260111,,JOHN DOE,JOHN DOE,جون دو,EG3300100010100100125,IBAN,,,5002,EG0010001,,3100.50,3100.50,9000.00,3100.50,3100.50,,,Y,3,20260530,INPUT002,AUTH010,t24,fbnk_account,2026-07-01 02:18:10.000,2026-05-30 02:10:00.000,2026-05-30
1010100100126,2,100126,1001,USD,20260115,,INITECH LOGISTICS,INITECH LOGISTICS USD,إنيتك للنقل,EG3300100010100100126,IBAN,,,5003,EG0010002,LIM-2044,74000.00,74000.00,50000.00,74000.00,50000.00,,,,,20260115,INPUT003,AUTH010,t24,fbnk_account,2026-07-01 02:18:10.000,2026-01-15 14:10:00.000,2026-01-15
1010100100126,6,100126,1001,USD,20260115,,INITECH LOGISTICS,INITECH LOGISTICS USD,إنيتك للنقل,EG3300100010100100126,IBAN,,,5003,EG0010002,LIM-2044,64000.00,64000.00,50000.00,64000.00,76500.00,,,,,20260511,INPUT003,AUTH010,t24,fbnk_account,2026-07-01 02:18:10.000,2026-05-11 22:40:00.000,2026-05-11
1010100100127,1,100127,1001,EGP,20260119,,RICHARD ROE,RICHARD ROE,ريتشارد رو,EG3300100010100100127,IBAN,,,5001,EG0010001,,96400.00,96400.00,20000.00,96400.00,20000.00,,,,,20260119,INPUT001,AUTH011,t24,fbnk_account,2026-07-01 02:18:10.000,2026-01-19 09:55:00.000,2026-01-19
1010100100128,7,100128,1001,EGP,20260122,20260518,JANE ROE,JANE ROE,جين رو,EG3300100010100100128,IBAN,,,5002,EG0010001,,0.00,0.00,5000.00,0.00,1200.00,CLOSED,Y,,,20260518,INPUT006,AUTH009,t24,fbnk_account,2026-07-01 02:18:10.000,2026-05-18 17:00:00.000,2026-05-18
1010100100129,2,100129,1001,EGP,20260126,,JOHN SMITH,JOHN SMITH,جون سميث,EG3300100010100100129,IBAN,,,5003,EG0010002,,58900.25,58900.25,25000.00,58900.25,25000.00,,,,,20260126,INPUT003,AUTH010,t24,fbnk_account,2026-07-01 02:18:10.000,2026-01-26 08:30:00.000,2026-01-26
1010100100130,3,100130,1001,EGP,20260202,,UMBRELLA MILLS,UMBRELLA MILLS CO,أمبريلا للمطاحن,EG3300100010100100130,IBAN,0110044120,OLDACC,5003,EG0010002,,412000.00,412000.00,300000.00,412000.00,300000.00,,,Y,,20260215,INPUT005,AUTH011,t24,fbnk_account,2026-07-01 02:18:10.000,2026-02-15 15:40:00.000,2026-02-15
1010100100131,2,100131,1001,EGP,20260209,,MARK MOE,MARK MOE,مارك مو,EG3300100010100100131,IBAN,,,5001,EG0010001,,220450.00,220450.00,100000.00,220450.00,100000.00,,,,3,20260209,INPUT001,AUTH009,t24,fbnk_account,2026-07-01 02:18:10.000,2026-02-09 10:10:00.000,2026-02-09
9999900000001,1,,9999,EGP,20200101,,INTERNAL SUSPENSE,INTERNAL SUSPENSE ACCOUNT,حساب معلق داخلي,,,,,5999,EG0010001,,-18420.00,-18420.00,0.00,-18420.00,-12000.00,,,,,20260101,SYSTEM,SYSTEM,t24,fbnk_account,2026-07-01 02:18:10.000,2026-01-01 00:05:00.000,2026-01-01
9999900000002,1,,9999,EGP,20200101,,CHARGES COLLECTED,CHARGES COLLECTED ACCOUNT,حساب العمولات المحصلة,,,,,5999,EG0010001,,206310.00,206310.00,0.00,206310.00,180000.00,,,,,20260101,SYSTEM,SYSTEM,t24,fbnk_account,2026-07-01 02:18:10.000,2026-01-01 00:05:00.000,2026-01-01
