recid,curr_no,short_name,arabic_name,genders,birth_incorp_date,nat_security_number,id_type,id_number,nationality,sector,profession,customer_status,risk_rate,account_officer,company_book,emploee_no,telephone_1,telephone_2,sms_1,email_address,email_1,drmnt_code,drmnt_date,posting_restrict_1,posting_restrict_2,peps,commercial_registration_no,licence_expiry_date,opening_date,update_date,inputter,authoriser,source_system,source_table,ingested_ts,created_ts,created_dt
100123;1,1,GLOBEX TRADING,جلوبكس للتجارة,,20031120,,COMMREG,CR-884512,EG,1001,,1,2,5001,EG0010001,,0221001234,,,info@globextrading.example,,,,,,NO,CR-884512,20271231,20260105,20260105,INPUT001,AUTH009,t24,fbnk_customer,2026-07-01 02:15:33.000,2026-01-05 11:42:00.000,2026-01-05
100123;2,2,GLOBEX TRADING,جلوبكس للتجارة,,20031120,,COMMREG,CR-884512,EG,1001,,1,2,5001,EG0010001,,0221001234,01001234567,,info@globextrading.example,ops@globextrading.example,,,,,NO,CR-884512,20271231,20260105,20260214,INPUT004,AUTH009,t24,fbnk_customer,2026-07-01 02:15:33.000,2026-02-14 09:05:00.000,2026-02-14
100123;3,3,GLOBEX TRADING,جلوبكس للتجارة,,20031120,,COMMREG,CR-884512,EG,1001,,2,3,5001,EG0010001,,0221001234,01001234567,,info@globextrading.example,ops@globextrading.example,,,,,NO,CR-884512,20271231,20260105,20260320,INPUT004,AUTH011,t24,fbnk_customer,2026-07-01 02:15:33.000,2026-03-20 16:20:00.000,2026-03-20
100124;1,1,JANE DOE,جين دو,F,19900312,29003121201234,NATID,29003121201234,EG,2001,PROF07,1,1,5002,EG0010001,,,,01112345678,jane.doe@example.com,,,,,,NO,,,20260108,20260108,INPUT002,AUTH009,t24,fbnk_customer,2026-07-01 02:15:33.000,2026-01-08 10:15:00.000,2026-01-08
100124;2,2,JANE DOE,جين دو,F,19900312,29003121201234,NATID,29003121201234,EG,2001,PROF07,1,1,5002,EG0010001,,,,01112345678,jane.doe@example.com,,18,20260401,,,NO,,,20260108,20260402,INPUT007,AUTH009,t24,fbnk_customer,2026-07-01 02:15:33.000,2026-04-02 03:00:00.000,2026-04-02
100125;1,1,JOHN DOE,جون دو,M,19850727,28507271100456,NATID,28507271100456,EG,2001,PROF12,1,2,5002,EG0010001,,,,01223344556,,,,,3,,NO,,,20260111,20260111,INPUT002,AUTH010,t24,fbnk_customer,2026-07-01 02:15:33.000,2026-01-11 12:30:00.000,2026-01-11
100126;1,1,INITECH LOGISTICS,إنيتك للنقل,,20110615,,COMMREG,CR-771203,EG,1001,,1,2,5003,EG0010002,,0223456789,,,contact@initechlog.example,,,,,,NO,CR-771203,20271231,20260115,20260115,INPUT003,AUTH010,t24,fbnk_customer,2026-07-01 02:15:33.000,2026-01-15 14:00:00.000,2026-01-15
100126;2,2,INITECH LOGISTICS,إنيتك للنقل,,20110615,,COMMREG,CR-771203,EG,1001,,1,2,5003,EG0010002,,0223456789,,,contact@initechlog.example,,,,,,NO,CR-771203,20281231,20260115,20260510,INPUT003,AUTH010,t24,fbnk_customer,2026-07-01 02:15:33.000,2026-05-10 11:11:00.000,2026-05-10
100127;1,1,RICHARD ROE,ريتشارد رو,M,19881002,28810021500789,NATID,28810021500789,EG,2001,PROF03,1,1,5001,EG0010001,E4417,,,01001112233,richard.roe@bank.example,,,,,,NO,,,20260119,20260119,INPUT001,AUTH011,t24,fbnk_customer,2026-07-01 02:15:33.000,2026-01-19 09:45:00.000,2026-01-19
100128;1,1,JANE ROE,جين رو,F,00000000,29511031300222,NATID,29511031300222,EG,2001,PROF21,1,1,5002,EG0010001,,,,01556677889,,,,,,,NO,,,20260122,20260122,INPUT002,AUTH009,t24,fbnk_customer,2026-07-01 02:15:33.000,2026-01-22 13:05:00.000,2026-01-22
100129;1,1,JOHN SMITH,جون سميث,M,19921118,29211181400555,NATID,29211181400555,EG,2001,PROF07,1,2,5003,EG0010002,,,,01098765432,john.smith@example.com,,,,,,NO,,,20260126,20260126,INPUT003,AUTH010,t24,fbnk_customer,2026-07-01 02:15:33.000,2026-01-26 08:20:00.000,2026-01-26
100129;2,2,JOHN SMITH,جون سميث,M,19921118,29211181400555,NATID,29211181400555,EG,2001,PROF07,1,2,5003,EG0010002,,,,01098765432,john.smith@example.com,,,,,,NO,,,20260126,20260601,INPUT003,AUTH010,t24,fbnk_customer,2026-07-01 02:15:33.000,2026-06-01 02:00:00.000,2026-06-01
100130;1,1,UMBRELLA MILLS,أمبريلا للمطاحن,,19980405,,COMMREG,CR-660118,EG,1001,,2,3,5003,EG0010002,,0225551122,,,admin@umbrellamills.example,,18,20260215,,,YES,CR-660118,20261130,20260202,20260215,INPUT005,AUTH011,t24,fbnk_customer,2026-07-01 02:15:33.000,2026-02-15 15:30:00.000,2026-02-15
100131;1,1,MARK MOE,مارك مو,M,19750830,27508301600333,NATID,27508301600333,EG,2001,PROF12,1,3,5001,EG0010001,,0227778899,,01677889900,mark.moe@example.com,m.moe@work.example,,,3,9,NO,,,20260209,20260209,INPUT001,AUTH009,t24,fbnk_customer,2026-07-01 02:15:33.000,2026-02-09 10:00:00.000,2026-02-09
100132;1,1,MARY MAJOR,ماري ميجور,F,19930614,29306141700111,NATID,29306141700111,EG,2001,PROF03,1,1,5002,EG0010001,,,,01334455667,mary.major@example.com,,,,,,NO,,,20260304,20260304,INPUT002,AUTH010,t24,fbnk_customer,2026-07-01 02:15:33.000,2026-03-04 09:30:00.000,2026-03-04
