recid,account_number,customer_id,product_category,transaction_code,currency,amount_lcy,amount_fcy,exchange_rate,booking_date,value_date,processing_date,exposure_date,system_date_time,our_reference,their_reference,trans_reference,reversal_marker,narrative,cheque_number,chq_type,counterparty,account_officer,company_code,position_type,system_id,inputter,authoriser,source_system,source_table,ingested_ts,created_ts,created_dt
STE00000001,1010100100123,100123,1001,101,EGP,50000.00,,,20260112,20260112,20260112,20260112,2601121032,TT2601120001,,,,CASH DEPOSIT BRANCH 001,,,,5001,EG0010001,TR,TT,INPUT011,AUTH009,t24,fbnk_stmt_entry,2026-07-01 02:22:41.000,2026-01-12 10:32:00.000,2026-01-12
STE00000002,9999900000001,,9999,101,EGP,-50000.00,,,20260112,20260112,20260112,20260112,2601121032,TT2601120001,,,,CASH DEPOSIT CONTRA,,,,5999,EG0010001,TR,TT,INPUT011,AUTH009,t24,fbnk_stmt_entry,2026-07-01 02:22:41.000,2026-01-12 10:32:00.000,2026-01-12
STE00000003,1010100100124,100124,1001,102,EGP,-3000.00,,,20260120,20260120,20260120,20260120,2601201415,TT2601200004,,,,CASH WITHDRAWAL BRANCH 001,,,,5002,EG0010001,TR,TT,INPUT012,AUTH009,t24,fbnk_stmt_entry,2026-07-01 02:22:41.000,2026-01-20 14:15:00.000,2026-01-20
STE00000004,9999900000001,,9999,102,EGP,3000.00,,,20260120,20260120,20260120,20260120,2601201415,TT2601200004,,,,CASH WITHDRAWAL CONTRA,,,,5999,EG0010001,TR,TT,INPUT012,AUTH009,t24,fbnk_stmt_entry,2026-07-01 02:22:41.000,2026-01-20 14:15:00.000,2026-01-20
STE00000005,1010100100123,100123,1001,202,EGP,-120000.00,,,20260203,20260203,20260203,20260203,2602030905,FT2602030011,INV-8821,,,TRANSFER TO INITECH LOGISTICS,,,1010100100126,5001,EG0010001,TR,FT,INPUT013,AUTH010,t24,fbnk_stmt_entry,2026-07-01 02:22:41.000,2026-02-03 09:05:00.000,2026-02-03
STE00000006,1010100100126,100126,1001,201,USD,120000.00,2500.00,48.0000,20260203,20260203,20260203,20260203,2602030905,FT2602030011,INV-8821,,,TRANSFER FROM GLOBEX TRADING,,,1010100100123,5003,EG0010002,TR,FT,INPUT013,AUTH010,t24,fbnk_stmt_entry,2026-07-01 02:22:41.000,2026-02-03 09:05:00.000,2026-02-03
STE00000007,1010100100129,100129,1001,202,EGP,-8500.00,,,20260215,20260215,20260215,20260215,2602151122,FT2602150022,,,,TRANSFER TO UMBRELLA MILLS,,,1010100100130,5003,EG0010002,TR,FT,INPUT013,AUTH010,t24,fbnk_stmt_entry,2026-07-01 02:22:41.000,2026-02-15 11:22:00.000,2026-02-15
STE00000008,1010100100130,100130,1001,201,EGP,8500.00,,,20260215,20260215,20260215,20260215,2602151122,FT2602150022,,,,TRANSFER FROM JOHN SMITH,,,1010100100129,5003,EG0010002,TR,FT,INPUT013,AUTH010,t24,fbnk_stmt_entry,2026-07-01 02:22:41.000,2026-02-15 11:22:00.000,2026-02-15
STE00000009,1010100100125,100125,1001,301,EGP,15000.00,,,20260222,20260224,20260222,20260224,2602221003,CQ2602220003,,,,CHEQUE DEPOSIT LOCAL CLEARING,0044213,LOCAL,,5002,EG0010001,TR,CQ,INPUT014,AUTH009,t24,fbnk_stmt_entry,2026-07-01 02:22:41.000,2026-02-22 10:03:00.000,2026-02-22
STE00000010,9999900000001,,9999,301,EGP,-15000.00,,,20260222,20260224,20260222,20260224,2602221003,CQ2602220003,,,,CHEQUE DEPOSIT CONTRA,0044213,LOCAL,,5999,EG0010001,TR,CQ,INPUT014,AUTH009,t24,fbnk_stmt_entry,2026-07-01 02:22:41.000,2026-02-22 10:03:00.000,2026-02-22
STE00000011,1010100100127,100127,1001,401,EGP,-150.00,,,20260301,20260301,20260301,20260301,2603010200,CH2603010007,,,,MONTHLY ACCOUNT MAINTENANCE FEE,,,,5001,EG0010001,TR,CH,SYSTEM,SYSTEM,t24,fbnk_stmt_entry,2026-07-01 02:22:41.000,2026-03-01 02:00:00.000,2026-03-01
STE00000012,9999900000002,,9999,401,EGP,150.00,,,20260301,20260301,20260301,20260301,2603010200,CH2603010007,,,,MONTHLY ACCOUNT MAINTENANCE FEE CONTRA,,,,5999,EG0010001,TR,CH,SYSTEM,SYSTEM,t24,fbnk_stmt_entry,2026-07-01 02:22:41.000,2026-03-01 02:00:00.000,2026-03-01
STE00000013,1010100100129,100129,1001,601,EGP,8500.00,,,20260218,20260215,20260218,20260215,2602180935,FT2602150022,,STE00000007,R,REVERSAL OF FT2602150022,,,1010100100130,5003,EG0010002,TR,FT,INPUT015,AUTH011,t24,fbnk_stmt_entry,2026-07-01 02:22:41.000,2026-02-18 09:35:00.000,2026-02-18
STE00000014,1010100100130,100130,1001,601,EGP,-8500.00,,,20260218,20260215,20260218,20260215,2602180935,FT2602150022,,STE00000008,R,REVERSAL OF FT2602150022,,,1010100100129,5003,EG0010002,TR,FT,INPUT015,AUTH011,t24,fbnk_stmt_entry,2026-07-01 02:22:41.000,2026-02-18 09:35:00.000,2026-02-18
STE00000015,6001200100124,100124,6001,501,EGP,1240.75,,,20260331,20260331,20260331,20260331,2603310130,IC2603310001,,,,CREDIT INTEREST CAPITALISATION,,,,5002,EG0010001,TR,IC,SYSTEM,SYSTEM,t24,fbnk_stmt_entry,2026-07-01 02:22:41.000,2026-03-31 01:30:00.000,2026-03-31
STE00000016,9999900000002,,9999,501,EGP,-1240.75,,,20260331,20260331,20260331,20260331,2603310130,IC2603310001,,,,CREDIT INTEREST CAPITALISATION CONTRA,,,,5999,EG0010001,TR,IC,SYSTEM,SYSTEM,t24,fbnk_stmt_entry,2026-07-01 02:22:41.000,2026-03-31 01:30:00.000,2026-03-31
STE00000017,1010100100131,100131,1001,101,EGP,100000.00,,,20260212,20260212,20260212,20260212,2602121150,TT2602120009,,,,CASH DEPOSIT BRANCH 001,,,,5001,EG0010001,TR,TT,INPUT011,AUTH009,t24,fbnk_stmt_entry,2026-07-01 02:22:41.000,2026-02-12 11:50:00.000,2026-02-12
STE00000018,9999900000001,,9999,101,EGP,-100000.00,,,20260212,20260212,20260212,20260212,2602121150,TT2602120009,,,,CASH DEPOSIT CONTRA,,,,5999,EG0010001,TR,TT,INPUT011,AUTH009,t24,fbnk_stmt_entry,2026-07-01 02:22:41.000,2026-02-12 11:50:00.000,2026-02-12
STE00000019,1010100100123,100123,1001,401,EGP,-2500.00,,,20260410,20260410,20260410,20260410,2604100200,CH2604100015,,,,QUARTERLY CORPORATE SERVICE FEE,,,,5001,EG0010001,TR,CH,SYSTEM,SYSTEM,t24,fbnk_stmt_entry,2026-07-01 02:22:41.000,2026-04-10 02:00:00.000,2026-04-10
STE00000020,9999900000002,,9999,401,EGP,2500.00,,,20260410,20260410,20260410,20260410,2604100200,CH2604100015,,,,QUARTERLY CORPORATE SERVICE FEE CONTRA,,,,5999,EG0010001,TR,CH,SYSTEM,SYSTEM,t24,fbnk_stmt_entry,2026-07-01 02:22:41.000,2026-04-10 02:00:00.000,2026-04-10
STE00000021,1010100100126,100126,1001,202,USD,-620000.00,-12500.00,49.6000,20260511,20260511,20260511,20260511,2605111340,FT2605110004,SWIFT-4471,,,OUTGOING SWIFT TRANSFER,,,EXTERNAL BANK,5003,EG0010002,TR,FT,INPUT013,AUTH010,t24,fbnk_stmt_entry,2026-07-01 02:22:41.000,2026-05-11 13:40:00.000,2026-05-11
STE00000022,9999900000001,,9999,202,EGP,620000.00,,,20260511,20260511,20260511,20260511,2605111340,FT2605110004,SWIFT-4471,,,OUTGOING SWIFT TRANSFER CONTRA,,,,5999,EG0010001,TR,FT,INPUT013,AUTH010,t24,fbnk_stmt_entry,2026-07-01 02:22:41.000,2026-05-11 13:40:00.000,2026-05-11
STE00000023,1010100100128,100128,1001,102,EGP,-1200.00,,,20260518,20260518,20260518,20260518,2605181630,TT2605180002,,,,FINAL WITHDRAWAL BEFORE CLOSURE,,,,5002,EG0010001,TR,TT,INPUT012,AUTH009,t24,fbnk_stmt_entry,2026-07-01 02:22:41.000,2026-05-18 16:30:00.000,2026-05-18
STE00000024,9999900000001,,9999,102,EGP,1200.00,,,20260518,20260518,20260518,20260518,2605181630,TT2605180002,,,,FINAL WITHDRAWAL CONTRA,,,,5999,EG0010001,TR,TT,INPUT012,AUTH009,t24,fbnk_stmt_entry,2026-07-01 02:22:41.000,2026-05-18 16:30:00.000,2026-05-18
STE00000025,1010100100130,100126,1001,401,EGP,-450.00,,,20260605,20260605,20260605,20260605,2606050200,CH2606050002,,,,MONTHLY ACCOUNT MAINTENANCE FEE,,,,5003,EG0010002,TR,CH,SYSTEM,SYSTEM,t24,fbnk_stmt_entry,2026-07-01 02:22:41.000,2026-06-05 02:00:00.000,2026-06-05
STE00000026,9999900000002,,9999,401,EGP,450.00,,,20260605,20260605,20260605,20260605,2606050200,CH2606050002,,,,MONTHLY ACCOUNT MAINTENANCE FEE CONTRA,,,,5999,EG0010001,TR,CH,SYSTEM,SYSTEM,t24,fbnk_stmt_entry,2026-07-01 02:22:41.000,2026-06-05 02:00:00.000,2026-06-05
STE00000027,1010100100123,100123,1001,201,EGP,285000.00,,,20260620,20260620,20260620,20260620,2606201005,FT2606200031,PO-99312,,,TRANSFER FROM MARK MOE,,,1010100100131,5001,EG0010001,TR,FT,INPUT013,AUTH011,t24,fbnk_stmt_entry,2026-07-01 02:22:41.000,2026-06-20 10:05:00.000,2026-06-20
STE00000028,1010100100131,100131,1001,202,EGP,-285000.00,,,20260620,20260620,20260620,20260620,2606201005,FT2606200031,PO-99312,,,TRANSFER TO GLOBEX TRADING,,,1010100100123,5001,EG0010001,TR,FT,INPUT013,AUTH011,t24,fbnk_stmt_entry,2026-07-01 02:22:41.000,2026-06-20 10:05:00.000,2026-06-20
STE00000029,1010100100124,100124,1001,301,EGP,9000.00,,,20260625,20260629,20260625,20260629,2606250942,CQ2606250011,,,,CHEQUE DEPOSIT LOCAL CLEARING,0051980,LOCAL,,5002,EG0010001,TR,CQ,INPUT014,AUTH009,t24,fbnk_stmt_entry,2026-07-01 02:22:41.000,2026-06-25 09:42:00.000,2026-06-25
